hand_x,hand_y,hand_z,hand_rot_x,hand_rot_y,hand_rot_z,elbow_x,elbow_y,elbow_z,elbow_rot_x,elbow_rot_y,elbow_rot_z
-0.08026731,1.39524,0.1312231,342.0562,105.0001,315.0275,-0.567542,1.427336,0.1980109,349.2156,267.3357,111.0268
-0.08032358,1.395224,0.1312149,342.0475,105.0175,315.0013,-0.567542,1.427336,0.1980109,349.2156,267.3357,111.0268
-0.08032358,1.395224,0.1312149,342.0475,105.0175,315.0013,-0.5677553,1.427479,0.1981249,349.2011,267.3315,111.0415
-0.08032358,1.395224,0.1312149,342.0475,105.0175,315.0013,-0.5677553,1.427479,0.1981249,349.2011,267.3315,111.0415
-0.08032358,1.395224,0.1312149,342.0475,105.0175,315.0013,-0.5677553,1.427479,0.1981249,349.2011,267.3315,111.0415
-0.08032358,1.395224,0.1312149,342.0475,105.0175,315.0013,-0.5677553,1.427479,0.1981249,349.2011,267.3315,111.0415
-0.08032358,1.395224,0.1312149,342.0475,105.0175,315.0013,-0.573357,1.425649,0.1965299,349.4341,266.5241,110.5723
-0.08032358,1.395224,0.1312149,342.0475,105.0175,315.0013,-0.5733618,1.425751,0.1965003,349.4137,266.5443,110.5844
-0.08041966,1.395386,0.1314042,342.0481,104.9238,315.029,-0.5733618,1.425751,0.1965003,349.4137,266.5443,110.5844
-0.07989037,1.395868,0.1320331,341.8818,104.5186,314.8866,-0.5733618,1.425751,0.1965003,349.4137,266.5443,110.5844
-0.07996714,1.396903,0.1327569,341.4226,104.1315,314.8492,-0.5733618,1.425751,0.1965003,349.4137,266.5443,110.5844
-0.08014131,1.397888,0.1328171,341.0685,104.0707,314.587,-0.5733618,1.425751,0.1965003,349.4137,266.5443,110.5844
-0.08024871,1.400001,0.1322061,340.5249,104.4092,314.7255,-0.5798591,1.425767,0.1957362,348.9389,266.311,111.4713
-0.08258045,1.400012,0.1317883,340.6534,105.1504,316.0896,-0.5798599,1.425731,0.1957264,348.9531,266.3066,111.4506
-0.08347833,1.399737,0.1315448,340.8312,105.6151,316.4315,-0.5817658,1.424794,0.1950605,349.0232,266.2048,111.3927
-0.08481431,1.398648,0.1299688,341.7477,106.6257,316.829,-0.581745,1.424637,0.1949806,348.9798,266.2265,111.4154
-0.08583927,1.397119,0.1285042,342.4978,107.5476,316.2505,-0.5830511,1.423779,0.1948804,349.0569,266.1695,111.2323
-0.08722115,1.393726,0.1262652,343.635,108.9524,315.3423,-0.5841066,1.423376,0.1947355,349.0997,266.1211,111.0887
-0.09773719,1.394296,0.1364361,341.072,104.5487,316.4333,-0.5851563,1.422843,0.1943703,349.19,266.0569,110.8201
-0.09785783,1.394732,0.1379776,341.1437,103.7746,317.6508,-0.5851911,1.422824,0.1943948,349.2127,266.052,110.8014
-0.09821916,1.395021,0.1385998,341.1714,103.4966,318.1969,-0.586336,1.422075,0.1938027,349.3666,265.8715,110.4215
-0.09879673,1.395526,0.1393538,341.2204,103.333,318.8283,-0.5863284,1.42208,0.1937923,349.3669,265.8658,110.4221
-0.09890485,1.39546,0.1391803,341.2317,103.3353,318.8651,-0.5876454,1.421521,0.1929672,349.5292,265.6107,109.9884
-0.09890485,1.39546,0.1391803,341.2317,103.3353,318.8651,-0.5876454,1.421521,0.1929672,349.5292,265.6107,109.9884
-0.09890485,1.39546,0.1391803,341.2317,103.3353,318.8651,-0.5889951,1.420934,0.1922239,349.7346,265.3525,109.7673
-0.09890485,1.39546,0.1391803,341.2317,103.3353,318.8651,-0.5888482,1.421089,0.1920931,349.7511,265.3564,109.7573
-0.09890485,1.39546,0.1391803,341.2317,103.3353,318.8651,-0.5894798,1.42083,0.1914983,349.8555,265.2366,109.6507
-0.09890485,1.39546,0.1391803,341.2317,103.3353,318.8651,-0.5901815,1.420533,0.1908231,349.945,265.0947,109.5128
-0.09890485,1.39546,0.1391803,341.2317,103.3353,318.8651,-0.5908121,1.420084,0.1904117,350.0539,264.9653,109.3117
-0.09890711,1.395453,0.1391509,341.235,103.3474,318.8396,-0.590896,1.420006,0.1902845,350.0862,264.9196,109.2177
-0.09895086,1.395487,0.1390929,341.2373,103.3393,318.9046,-0.5918163,1.419824,0.189741,350.1719,264.7753,109.0542
-0.0991385,1.395486,0.1390792,341.2097,103.3466,319.0501,-0.5926408,1.419119,0.1890938,350.3133,264.5457,108.6534
-0.09915125,1.395362,0.1390127,341.2845,103.3957,319.1388,-0.5940188,1.417916,0.1883196,350.4876,264.3627,108.0596
-0.09915388,1.395275,0.1389626,341.3378,103.4318,319.2079,-0.5942951,1.417855,0.1882246,350.4897,264.3724,108.041
-0.09924364,1.395018,0.1388303,341.4669,103.4968,319.3734,-0.5954384,1.416723,0.1877759,350.5873,264.2857,107.6716
-0.09912908,1.394539,0.1384511,341.6727,103.573,319.3591,-0.5977911,1.414886,0.1868441,350.7474,264.1077,106.9317
-0.09878922,1.393929,0.1380697,341.9564,103.7533,319.2137,-0.5978092,1.414867,0.1868404,350.7442,264.1064,106.9248
-0.09867346,1.393719,0.1379503,342.056,103.8262,319.1415,-0.5998331,1.412824,0.1859223,350.8407,263.9175,106.209
-0.09832263,1.393121,0.1373801,342.3446,104.129,318.5895,-0.5998353,1.412717,0.1857547,350.8146,263.9013,106.2055
-0.09764326,1.392622,0.136517,342.7761,104.6088,317.7885,-0.5998353,1.412717,0.1857547,350.8146,263.9013,106.2055
-0.09760571,1.392847,0.1365458,342.8259,104.6334,317.718,-0.6059703,1.406603,0.1839623,350.9905,263.4278,104.2794
-0.09727967,1.394741,0.1369429,342.927,104.7184,317.4854,-0.6059989,1.406595,0.183948,350.9767,263.4187,104.2804
-0.09709585,1.39583,0.137188,342.8963,104.731,317.3962,-0.6059989,1.406595,0.183948,350.9767,263.4187,104.2804
-0.09709585,1.39583,0.137188,342.8963,104.731,317.3962,-0.6127762,1.399453,0.1819179,350.745,262.8207,102.4723
-0.09709585,1.39583,0.137188,342.8963,104.731,317.3962,-0.6127762,1.399453,0.1819179,350.745,262.8207,102.4723
-0.09709585,1.39583,0.137188,342.8963,104.731,317.3962,-0.6181606,1.393943,0.1803358,350.3625,262.3553,101.0564
-0.09660971,1.399398,0.1379939,342.4566,104.4223,317.5201,-0.6181237,1.393827,0.1803067,350.4001,262.3629,101.0255
-0.09654713,1.400257,0.1382809,342.3203,104.2678,317.6513,-0.6241778,1.387278,0.1787477,350.031,261.8086,99.44696
-0.09643662,1.405846,0.1403778,341.4543,103.0868,318.3131,-0.6241778,1.387278,0.1787477,350.031,261.8086,99.44696
-0.09642351,1.406753,0.1405475,341.2875,102.9271,318.3671,-0.6244813,1.387569,0.1788996,350.0596,261.825,99.44415
-0.09673762,1.409768,0.1409737,340.7315,102.7316,318.6604,-0.6244813,1.387569,0.1788996,350.0596,261.825,99.44415
-0.09788716,1.41397,0.1414458,339.8947,102.6982,319.4918,-0.6244813,1.387569,0.1788996,350.0596,261.825,99.44415
-0.09861279,1.415853,0.1417382,339.4756,102.6196,320.0057,-0.6244813,1.387569,0.1788996,350.0596,261.825,99.44415
-0.09981346,1.420032,0.1438655,338.1203,101.3299,322.0105,-0.64829,1.365369,0.172179,347.2335,259.006,95.66647
-0.1021414,1.421933,0.1466397,337.4966,100.0856,322.3761,-0.6517664,1.362446,0.1710498,346.7996,258.5745,95.35339
-0.1031737,1.42187,0.1467508,337.5566,100.186,322.2597,-0.658168,1.357543,0.1699165,345.9304,257.7145,94.79756
-0.1045852,1.422026,0.1467741,337.5135,100.3435,322.3741,-0.658203,1.35731,0.1700885,345.9234,257.714,94.76743
-0.1066881,1.422705,0.1471467,336.9106,100.1263,323.3442,-0.6666816,1.350745,0.1687982,344.4486,256.5652,93.77986
-0.1080724,1.423062,0.1477478,336.3719,99.79795,324.1196,-0.6666766,1.3508,0.1688175,344.4316,256.5666,93.76388
-0.1102132,1.423215,0.1488475,335.5178,98.98079,325.3551,-0.6751751,1.344447,0.1680715,342.6651,255.4089,92.68279
-0.1115245,1.423195,0.1501313,335.1599,98.23332,326.5314,-0.6828064,1.340427,0.1693261,341.7909,254.6999,91.9164
-0.1115245,1.423195,0.1501313,335.1599,98.23332,326.5314,-0.6867331,1.3383,0.1686269,340.8476,254.1365,91.40309
-0.1150377,1.420755,0.1535888,334.925,96.59198,329.4237,-0.6868504,1.338222,0.1683937,340.7925,254.1453,91.37701
-0.1171441,1.419086,0.1550845,334.8351,96.05225,330.2663,-0.6955117,1.333801,0.167159,339.1307,252.6735,91.09647
-0.1219743,1.414225,0.1582272,334.4431,95.00231,331.3705,-0.7000335,1.330855,0.1663477,338.3938,251.9214,91.08829
-0.1273407,1.407384,0.1626723,333.6739,93.95,332.3573,-0.6997553,1.330832,0.1665492,338.3983,251.9383,91.06148
-0.1316677,1.400163,0.1669925,333.2608,92.84125,333.8536,-0.7080761,1.326948,0.1657809,337.0679,250.6883,90.86613
-0.1355604,1.389867,0.1725099,333.6313,91.09926,335.7954,-0.7142316,1.324438,0.1644604,336.1498,249.7972,90.70956
-0.1423643,1.367342,0.1849451,335.5906,86.76884,340.7733,-0.7141851,1.324316,0.1644573,336.1599,249.8075,90.68707
-0.1455945,1.356471,0.1905971,336.8181,85.181,342.4143,-0.7141851,1.324316,0.1644573,336.1599,249.8075,90.68707
